 no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, loan_status,Gender,Age
5, Graduate, No,8800000,18800000,14,836, Approved,Female,47
4, Not Graduate, Yes,1100000,2900000,4,554, Approved,Male,25
3, Graduate, No,8700000,30500000,2,443, Approved,Male,35
5, Not Graduate, No,6100000,23600000,4,725, Approved,Female,20
2, Not Graduate, Yes,1900000,7000000,14,818, Approved,Female,54
1, Not Graduate, No,9900000,38700000,6,670, Approved,Male,30
0, Graduate, No,5800000,21100000,6,414, Rejected,Male,79
2, Not Graduate, Yes,9500000,37000000,8,887, Approved,Male,51
3, Graduate, Yes,7900000,26600000,12,409, Rejected,Male,28
1, Not Graduate, Yes,1300000,4500000,14,679, Approved,Male,33
4, Graduate, Yes,700000,2600000,18,478, Rejected,Female,50
3, Graduate, No,600000,1200000,2,752, Approved,Male,30
0, Graduate, No,9400000,33000000,4,616, Approved,Male,24
2, Not Graduate, Yes,3800000,12500000,14,842, Approved,Male,44
3, Graduate, Yes,7800000,26300000,20,840, Approved,Female,42
3, Graduate, Yes,7800000,27700000,6,430, Rejected,Male,40
4, Not Graduate, No,2700000,7000000,4,351, Rejected,Male,43
5, Not Graduate, No,600000,2300000,4,347, Rejected,Female,59
3, Not Graduate, Yes,8000000,28800000,10,576, Approved,Male,36
0, Not Graduate, Yes,4000000,11000000,8,799, Approved,Male,73
1, Not Graduate, Yes,3300000,10800000,2,550, Approved,Male,30
2, Graduate, No,5800000,13300000,4,878, Approved,Female,38
3, Graduate, Yes,2400000,4800000,12,895, Approved,Male,44
4, Not Graduate, No,7600000,29700000,6,603, Approved,Male,20
2, Not Graduate, Yes,2500000,6900000,12,325, Rejected,Female,29
2, Graduate, No,3300000,11800000,4,393, Approved,Female,80
3, Graduate, No,9800000,30300000,2,612, Approved,Female,34
0, Graduate, Yes,1000000,3800000,8,553, Approved,Male,22
0, Not Graduate, Yes,2500000,8800000,14,389, Rejected,Male,44
0, Graduate, No,1900000,6800000,4,782, Approved,Female,33
3, Graduate, No,3100000,8500000,12,493, Rejected,Female,20
5, Graduate, Yes,6000000,11900000,2,629, Approved,Female,32
5, Not Graduate, No,6500000,21600000,10,419, Rejected,Male,51
2, Not Graduate, Yes,5900000,15800000,2,444, Rejected,Female,57
5, Not Graduate, Yes,6500000,15800000,16,301, Rejected,Female,37
0, Graduate, Yes,3800000,11200000,20,479, Rejected,Male,69
3, Not Graduate, Yes,3000000,11400000,10,424, Rejected,Male,27
0, Graduate, No,4300000,16900000,18,469, Rejected,Female,51
4, Not Graduate, Yes,3500000,8300000,2,897, Approved,Male,38
3, Not Graduate, No,300000,500000,2,477, Rejected,Male,25
3, Not Graduate, Yes,600000,1400000,16,509, Rejected,Female,57
0, Graduate, Yes,800000,1700000,4,752, Approved,Female,23
0, Not Graduate, Yes,5600000,19100000,14,875, Approved,Female,20
2, Not Graduate, Yes,1800000,3600000,4,343, Rejected,Female,31
0, Graduate, No,6800000,20800000,20,819, Approved,Male,33
2, Graduate, Yes,4200000,16800000,2,433, Approved,Male,43
1, Not Graduate, Yes,200000,400000,6,768, Approved,Male,52
2, Graduate, Yes,8500000,31800000,6,714, Approved,Male,37
2, Not Graduate, Yes,2800000,10100000,16,531, Rejected,Male,46
0, Graduate, Yes,3600000,8600000,6,529, Rejected,Male,43
1, Not Graduate, No,6200000,19500000,20,448, Rejected,Female,27
1, Graduate, No,2700000,10000000,2,584, Approved,Male,54
1, Graduate, No,6800000,22900000,4,501, Approved,Male,28
2, Not Graduate, No,6300000,24500000,18,848, Approved,Female,74
4, Not Graduate, No,8800000,19100000,6,586, Approved,Male,47
1, Graduate, No,5900000,13000000,2,386, Rejected,Female,39
5, Not Graduate, Yes,9800000,37900000,18,301, Rejected,Male,46
2, Graduate, No,3300000,8300000,6,653, Approved,Female,23
4, Graduate, Yes,300000,500000,14,448, Rejected,Male,26
1, Not Graduate, Yes,4800000,11600000,16,696, Approved,Female,25
1, Graduate, No,7500000,28300000,16,707, Approved,Female,80
2, Not Graduate, No,8600000,21700000,4,429, Rejected,Male,62
4, Not Graduate, No,8900000,21100000,6,631, Approved,Female,39
5, Not Graduate, Yes,9600000,29600000,4,446, Approved,Male,43
0, Graduate, Yes,7700000,18100000,18,705, Approved,Female,43
3, Not Graduate, Yes,7000000,15200000,2,709, Approved,Male,25
4, Not Graduate, Yes,7800000,19500000,14,739, Approved,Male,25
3, Graduate, No,5100000,11000000,6,336, Rejected,Female,59
4, Graduate, No,9400000,32600000,4,898, Approved,Female,30
4, Not Graduate, Yes,600000,2100000,6,558, Approved,Female,20
3, Graduate, No,5100000,13300000,4,589, Approved,Female,37
2, Graduate, Yes,3800000,14400000,2,301, Rejected,Male,33
2, Not Graduate, Yes,5300000,21200000,14,516, Rejected,Female,41
5, Not Graduate, No,1100000,3600000,12,315, Rejected,Female,30
3, Not Graduate, No,6400000,14400000,10,546, Rejected,Male,40
0, Not Graduate, Yes,5100000,14500000,14,559, Approved,Male,34
3, Graduate, Yes,5300000,16900000,2,350, Approved,Female,34
1, Graduate, No,6700000,18700000,8,583, Approved,Female,34
2, Not Graduate, No,4000000,9400000,8,874, Approved,Male,78
2, Not Graduate, Yes,3900000,11600000,8,808, Approved,Female,38
1, Graduate, Yes,1600000,4900000,16,487, Rejected,Female,72
3, Graduate, No,2700000,7800000,14,870, Approved,Male,68
3, Graduate, No,1400000,3800000,8,840, Approved,Male,50
4, Not Graduate, Yes,8000000,19200000,18,682, Approved,Female,69
3, Graduate, Yes,8200000,28900000,10,668, Approved,Female,33
5, Graduate, Yes,4800000,10300000,8,781, Approved,Male,36
4, Graduate, No,8100000,19000000,6,375, Rejected,Male,63
4, Not Graduate, No,5900000,14900000,14,857, Approved,Male,42
5, Graduate, Yes,8100000,32100000,6,823, Approved,Male,43
0, Graduate, No,1400000,5000000,8,686, Approved,Female,30
1, Graduate, No,1600000,6300000,2,721, Approved,Female,29
4, Graduate, No,4600000,9400000,18,545, Rejected,Male,54
1, Not Graduate, No,2900000,8900000,6,523, Rejected,Male,54
2, Graduate, Yes,8600000,24900000,20,607, Approved,Male,39
4, Not Graduate, No,3800000,14900000,20,428, Rejected,Male,29
0, Not Graduate, No,8200000,20300000,4,666, Approved,Male,45
3, Graduate, No,3200000,10100000,20,704, Approved,Female,39
0, Not Graduate, Yes,8100000,23800000,10,794, Approved,Male,54
1, Graduate, Yes,9800000,23300000,12,430, Rejected,Female,38
0, Not Graduate, No,200000,500000,20,615, Approved,Male,22
0, Not Graduate, No,6600000,14100000,20,360, Rejected,Male,21
0, Not Graduate, No,9100000,18300000,14,458, Rejected,Male,73
2, Not Graduate, No,5500000,20400000,12,887, Approved,Male,50
4, Not Graduate, No,7200000,27400000,8,735, Approved,Male,41
1, Not Graduate, No,2400000,5600000,16,379, Rejected,Male,24
4, Graduate, No,9600000,25500000,20,544, Rejected,Male,49
1, Graduate, Yes,5800000,16700000,12,721, Approved,Male,26
4, Not Graduate, No,2300000,6000000,8,676, Approved,Female,23
1, Not Graduate, No,300000,1200000,4,342, Approved,Female,79
0, Not Graduate, No,9900000,27000000,16,566, Approved,Female,54
2, Not Graduate, No,3500000,14000000,2,355, Approved,Female,26
2, Graduate, No,4800000,18500000,20,605, Approved,Male,50
2, Not Graduate, No,1600000,5200000,16,525, Rejected,Male,64
5, Graduate, Yes,800000,2500000,12,403, Rejected,Male,69
1, Graduate, Yes,9000000,33500000,18,727, Approved,Female,46
1, Graduate, No,8300000,28900000,12,529, Rejected,Male,54
4, Graduate, No,2800000,6100000,18,415, Rejected,Female,42
1, Graduate, Yes,6400000,17300000,10,879, Approved,Male,77
2, Not Graduate, Yes,6000000,12600000,16,649, Approved,Male,24
0, Graduate, No,2900000,9800000,16,395, Rejected,Female,25
0, Graduate, No,6500000,24100000,20,488, Rejected,Female,44
1, Graduate, Yes,200000,400000,8,569, Approved,Female,58
1, Not Graduate, No,8400000,24600000,14,817, Approved,Female,30
1, Graduate, Yes,6100000,17800000,20,706, Approved,Female,45
2, Graduate, Yes,8000000,31200000,8,553, Approved,Male,42
5, Not Graduate, Yes,900000,1800000,14,464, Rejected,Male,66
2, Graduate, No,7300000,20000000,6,729, Approved,Female,31
4, Not Graduate, Yes,3700000,7400000,12,363, Rejected,Female,36
2, Graduate, No,5200000,17200000,12,565, Approved,Male,52
1, Graduate, No,7200000,21000000,14,421, Rejected,Male,28
0, Not Graduate, Yes,9400000,34200000,10,512, Rejected,Male,46
3, Not Graduate, Yes,3400000,12400000,2,730, Approved,Female,42
0, Graduate, No,600000,2300000,8,627, Approved,Female,60
0, Not Graduate, Yes,3300000,10000000,16,434, Rejected,Female,23
2, Graduate, Yes,5900000,14300000,2,410, Rejected,Male,22
3, Not Graduate, No,1300000,3600000,16,624, Approved,Male,22
4, Graduate, Yes,5700000,16900000,4,656, Approved,Female,29
2, Not Graduate, No,7700000,27300000,16,758, Approved,Female,80
4, Not Graduate, Yes,7000000,23500000,18,336, Rejected,Female,20
5, Graduate, No,8100000,21900000,18,378, Rejected,Male,51
1, Graduate, Yes,1900000,4200000,4,620, Approved,Male,30
2, Graduate, No,4500000,9100000,18,593, Approved,Female,46
0, Not Graduate, Yes,9600000,34000000,12,710, Approved,Female,20
1, Not Graduate, Yes,5400000,20700000,8,753, Approved,Female,21
1, Not Graduate, Yes,7800000,27200000,16,454, Rejected,Male,36
1, Graduate, Yes,8200000,19100000,8,619, Approved,Female,52
2, Graduate, No,8900000,28500000,6,367, Rejected,Male,28
1, Graduate, No,1400000,3100000,20,384, Rejected,Female,25
2, Graduate, No,1700000,5900000,16,610, Approved,Female,41
0, Graduate, No,5300000,19500000,12,802, Approved,Female,22
3, Graduate, No,6500000,25200000,10,858, Approved,Male,61
2, Graduate, No,5900000,14000000,8,599, Approved,Male,33
4, Graduate, Yes,9800000,27000000,2,395, Rejected,Male,31
3, Graduate, Yes,7700000,16200000,6,380, Rejected,Female,53
1, Graduate, No,7900000,27100000,10,803, Approved,Female,68
4, Graduate, No,3500000,8900000,20,809, Approved,Female,24
4, Not Graduate, No,2400000,6600000,2,722, Approved,Female,25
5, Graduate, No,9900000,35700000,10,392, Rejected,Male,38
0, Graduate, No,3900000,14500000,8,545, Rejected,Female,47
2, Not Graduate, Yes,7300000,28500000,10,799, Approved,Male,44
0, Graduate, Yes,6400000,21900000,12,727, Approved,Female,33
4, Graduate, No,7100000,19800000,18,530, Rejected,Male,53
2, Not Graduate, No,8800000,19000000,14,637, Approved,Male,32
5, Graduate, No,7400000,21000000,4,561, Approved,Male,30
2, Not Graduate, No,4400000,12000000,20,421, Rejected,Male,38
3, Graduate, Yes,8600000,30300000,14,459, Rejected,Male,20
3, Not Graduate, No,6900000,26000000,14,828, Approved,Male,52
4, Graduate, No,9600000,27500000,20,679, Approved,Female,54
2, Graduate, Yes,8100000,25700000,8,455, Rejected,Male,30
0, Not Graduate, No,2600000,9400000,18,879, Approved,Male,78
3, Graduate, Yes,9300000,26100000,14,636, Approved,Female,25
2, Not Graduate, Yes,2100000,5600000,16,426, Rejected,Female,40
4, Not Graduate, Yes,9000000,21500000,14,508, Rejected,Female,29
3, Not Graduate, Yes,7000000,19200000,4,768, Approved,Female,24
3, Not Graduate, No,2200000,6400000,20,667, Approved,Male,21
5, Graduate, Yes,7500000,28200000,2,440, Approved,Male,23
1, Graduate, Yes,8300000,16800000,2,366, Rejected,Male,58
2, Not Graduate, No,300000,600000,2,383, Rejected,Female,36
0, Not Graduate, Yes,300000,800000,4,603, Approved,Male,41
3, Graduate, No,3900000,14900000,4,728, Approved,Male,23
0, Not Graduate, No,6600000,20300000,6,549, Rejected,Male,21
0, Graduate, No,4100000,10700000,8,855, Approved,Male,25
5, Graduate, Yes,1800000,5300000,12,461, Rejected,Male,32
3, Not Graduate, Yes,7000000,16100000,16,379, Rejected,Male,38
2, Not Graduate, Yes,5100000,13700000,6,559, Approved,Male,48
1, Not Graduate, Yes,300000,600000,8,816, Approved,Male,25
4, Not Graduate, Yes,4300000,11400000,2,560, Approved,Male,49
0, Graduate, Yes,3200000,12000000,14,645, Approved,Female,34
4, Not Graduate, Yes,4200000,11500000,6,551, Approved,Male,23
0, Not Graduate, Yes,9600000,22900000,8,515, Rejected,Female,44
4, Graduate, No,1300000,3600000,10,657, Approved,Female,34
3, Not Graduate, No,2400000,9300000,2,682, Approved,Male,39
0, Graduate, No,600000,1600000,10,588, Approved,Male,73
5, Graduate, Yes,9600000,38000000,10,359, Rejected,Female,23
0, Graduate, No,400000,1200000,4,766, Approved,Male,38
4, Graduate, No,5900000,19900000,14,469, Rejected,Female,46
0, Graduate, Yes,700000,1400000,10,618, Approved,Female,37
0, Not Graduate, Yes,8600000,17700000,20,711, Approved,Female,22
0, Graduate, Yes,9000000,34000000,4,549, Approved,Male,26
3, Graduate, Yes,5100000,20400000,6,754, Approved,Male,61
4, Not Graduate, Yes,500000,1500000,6,461, Rejected,Female,28
2, Graduate, No,1600000,3800000,10,837, Approved,Male,42
0, Graduate, Yes,9800000,23900000,14,459, Rejected,Female,56
4, Graduate, No,7800000,29700000,20,614, Approved,Female,20
4, Not Graduate, No,6500000,24000000,16,373, Rejected,Male,29
5, Graduate, Yes,7500000,26500000,12,512, Rejected,Male,47
4, Graduate, Yes,8900000,23400000,18,781, Approved,Female,23
4, Graduate, Yes,1800000,5800000,14,305, Rejected,Female,28
1, Not Graduate, Yes,7600000,27800000,6,447, Rejected,Male,30
4, Graduate, Yes,1200000,4600000,6,757, Approved,Female,57
5, Graduate, Yes,2700000,10400000,2,723, Approved,Female,61
1, Not Graduate, Yes,4600000,10900000,12,463, Rejected,Male,21
2, Not Graduate, No,6900000,18700000,10,699, Approved,Female,22
4, Graduate, Yes,8400000,25200000,2,308, Approved,Female,67
0, Graduate, No,300000,500000,18,702, Approved,Female,45
2, Not Graduate, Yes,9500000,37500000,4,456, Approved,Female,37
3, Graduate, Yes,1900000,5900000,8,651, Approved,Male,57
3, Not Graduate, No,4200000,14500000,20,840, Approved,Female,34
4, Graduate, Yes,2200000,7900000,18,848, Approved,Female,30
5, Graduate, Yes,7100000,19700000,4,727, Approved,Male,33
4, Graduate, No,3500000,11600000,10,335, Rejected,Female,44
5, Not Graduate, No,400000,800000,18,304, Rejected,Male,71
2, Graduate, Yes,8800000,34400000,2,712, Approved,Female,27
0, Not Graduate, No,1800000,6600000,10,737, Approved,Male,43
1, Graduate, Yes,7600000,29300000,14,690, Approved,Male,31
1, Graduate, Yes,1000000,3200000,4,888, Approved,Male,33
2, Not Graduate, Yes,8200000,27200000,10,839, Approved,Female,76
5, Not Graduate, Yes,3600000,12400000,8,333, Rejected,Female,28
5, Graduate, No,9400000,23700000,18,862, Approved,Male,53
5, Not Graduate, No,2600000,9100000,4,309, Approved,Female,79
5, Not Graduate, No,9500000,30700000,10,823, Approved,Male,40
0, Graduate, Yes,3500000,11700000,14,649, Approved,Female,66
5, Not Graduate, Yes,9800000,35700000,10,726, Approved,Male,30
4, Graduate, No,800000,3100000,18,712, Approved,Male,36
0, Not Graduate, No,9700000,37300000,20,701, Approved,Female,30
3, Graduate, No,6200000,21300000,12,655, Approved,Male,36
1, Not Graduate, Yes,4400000,16600000,18,385, Rejected,Male,27
2, Graduate, No,1800000,3800000,4,777, Approved,Female,38
3, Graduate, No,1700000,5300000,14,696, Approved,Male,38
3, Graduate, No,3900000,14100000,16,496, Rejected,Male,27
2, Graduate, Yes,2200000,7900000,6,659, Approved,Male,31
3, Not Graduate, Yes,6300000,17700000,2,542, Rejected,Male,20
2, Not Graduate, No,2200000,8700000,18,729, Approved,Female,26
1, Graduate, No,8100000,28400000,6,744, Approved,Female,40
4, Not Graduate, No,6800000,17000000,2,749, Approved,Male,26
0, Graduate, No,4700000,14800000,20,755, Approved,Female,39
3, Graduate, Yes,2200000,5300000,2,506, Rejected,Female,50
3, Graduate, Yes,3500000,13000000,6,391, Rejected,Male,26
1, Not Graduate, Yes,3500000,11600000,10,898, Approved,Male,68
5, Not Graduate, No,500000,1500000,12,527, Rejected,Female,51
5, Not Graduate, No,9900000,35800000,20,470, Rejected,Female,39
1, Graduate, No,8400000,25000000,12,694, Approved,Female,23
1, Graduate, No,5000000,18800000,14,325, Rejected,Male,43
4, Not Graduate, Yes,5500000,13400000,10,880, Approved,Male,59
5, Graduate, Yes,3000000,11900000,14,459, Rejected,Female,38
3, Not Graduate, Yes,9400000,21400000,10,323, Rejected,Male,27
4, Graduate, No,7600000,29000000,8,739, Approved,Male,76
0, Not Graduate, Yes,5500000,16300000,10,724, Approved,Male,27
1, Graduate, No,3100000,7400000,18,487, Rejected,Male,38
3, Graduate, No,7700000,27700000,4,439, Approved,Male,54
2, Graduate, No,9800000,25400000,2,655, Approved,Female,20
3, Not Graduate, No,3200000,9200000,14,443, Rejected,Female,49
2, Graduate, No,700000,2600000,20,489, Rejected,Female,29
4, Not Graduate, Yes,3100000,8600000,14,427, Rejected,Female,50
0, Graduate, Yes,4500000,10500000,20,417, Rejected,Male,25
5, Not Graduate, Yes,8900000,24800000,18,842, Approved,Male,26
3, Not Graduate, No,5900000,23200000,2,307, Approved,Female,28
2, Not Graduate, No,1500000,4500000,18,428, Rejected,Male,71
4, Not Graduate, Yes,6300000,15200000,16,415, Rejected,Female,43
3, Not Graduate, Yes,6500000,18200000,20,405, Rejected,Male,28
4, Graduate, No,8000000,31500000,18,683, Approved,Male,75
1, Graduate, Yes,3300000,10600000,14,742, Approved,Male,32
4, Not Graduate, No,3900000,10000000,10,530, Rejected,Female,34
3, Graduate, No,1600000,3500000,10,844, Approved,Female,33
2, Not Graduate, Yes,3900000,13900000,18,715, Approved,Male,51
3, Graduate, Yes,8000000,26300000,12,476, Rejected,Female,43
2, Graduate, No,2200000,4800000,6,721, Approved,Female,46
4, Not Graduate, No,7600000,30300000,12,339, Rejected,Female,62
5, Not Graduate, Yes,2700000,6800000,6,461, Rejected,Female,39
2, Graduate, Yes,6300000,23200000,12,556, Approved,Female,39
3, Not Graduate, No,7700000,18700000,8,483, Rejected,Male,60
2, Graduate, No,4500000,17200000,18,406, Rejected,Female,21
2, Graduate, Yes,9400000,24800000,14,513, Rejected,Female,23
0, Not Graduate, No,4600000,12600000,16,574, Approved,Male,63
0, Graduate, Yes,5200000,15700000,6,692, Approved,Female,37
5, Graduate, Yes,8000000,29800000,18,867, Approved,Male,40
1, Not Graduate, Yes,9900000,38500000,2,875, Approved,Male,24
4, Graduate, Yes,8500000,18600000,10,597, Approved,Male,20
2, Graduate, Yes,4900000,12000000,20,513, Rejected,Female,25
3, Graduate, Yes,7000000,24200000,2,354, Approved,Male,29
2, Not Graduate, No,9600000,25900000,18,647, Approved,Female,38
1, Graduate, No,9700000,23700000,6,875, Approved,Male,57
1, Graduate, No,6200000,14300000,20,819, Approved,Female,54
4, Not Graduate, Yes,4100000,9600000,10,521, Rejected,Female,41
0, Graduate, Yes,6100000,19900000,20,761, Approved,Female,45
0, Graduate, No,700000,1900000,18,572, Approved,Male,27
3, Graduate, No,6400000,24100000,12,571, Approved,Male,28
4, Graduate, Yes,3800000,7800000,20,891, Approved,Male,35
1, Not Graduate, No,4900000,14800000,12,895, Approved,Male,63
2, Graduate, No,2100000,6600000,20,580, Approved,Female,27
2, Graduate, No,6200000,23400000,8,605, Approved,Male,33
4, Not Graduate, No,1600000,5100000,8,705, Approved,Female,38
1, Not Graduate, Yes,1300000,5000000,20,423, Rejected,Female,34
5, Not Graduate, Yes,7300000,22500000,2,846, Approved,Female,66
2, Not Graduate, No,2100000,5000000,4,542, Rejected,Male,28
5, Not Graduate, No,600000,2400000,18,631, Approved,Male,26
4, Graduate, No,7000000,24500000,18,318, Rejected,Female,20
1, Not Graduate, Yes,3000000,6800000,10,541, Rejected,Male,34
1, Graduate, No,900000,2900000,20,782, Approved,Female,28
2, Graduate, No,9600000,35000000,2,888, Approved,Male,63
0, Graduate, No,1500000,3600000,14,747, Approved,Male,72
0, Graduate, Yes,5000000,18900000,6,641, Approved,Female,32
3, Graduate, Yes,500000,1700000,4,640, Approved,Female,49
4, Not Graduate, No,7600000,28100000,12,324, Rejected,Female,61
4, Graduate, No,5500000,21200000,20,359, Rejected,Female,51
0, Not Graduate, Yes,6600000,23300000,12,338, Rejected,Female,41
0, Graduate, No,1400000,3200000,14,384, Rejected,Female,38
5, Not Graduate, Yes,8800000,26600000,16,545, Rejected,Female,33
5, Not Graduate, No,6200000,24200000,18,610, Approved,Male,56
2, Graduate, Yes,8300000,27900000,18,840, Approved,Female,25
3, Not Graduate, No,2400000,8100000,6,630, Approved,Male,46
1, Graduate, No,9100000,31200000,4,508, Approved,Male,44
0, Not Graduate, Yes,9500000,34900000,4,535, Approved,Male,28
1, Graduate, No,1200000,3400000,20,717, Approved,Female,34
2, Graduate, Yes,7700000,19300000,8,735, Approved,Female,23
5, Graduate, Yes,7800000,22000000,20,528, Rejected,Male,43
0, Graduate, Yes,9400000,20000000,4,350, Rejected,Male,34
0, Not Graduate, No,1700000,5700000,12,422, Rejected,Male,66
5, Graduate, No,4000000,13700000,6,496, Rejected,Female,20
4, Not Graduate, No,4200000,15500000,18,794, Approved,Female,54
2, Graduate, No,2400000,7700000,6,719, Approved,Female,23
3, Not Graduate, Yes,2700000,6100000,14,630, Approved,Female,47
3, Not Graduate, Yes,600000,1800000,4,843, Approved,Male,49
2, Graduate, No,4600000,15600000,2,764, Approved,Male,39
3, Graduate, No,7200000,17700000,4,662, Approved,Female,80
0, Not Graduate, No,4700000,15500000,16,311, Rejected,Male,53
4, Not Graduate, No,4300000,10100000,2,606, Approved,Male,22
5, Graduate, No,4700000,10200000,16,874, Approved,Male,64
4, Not Graduate, Yes,8700000,30000000,4,370, Approved,Female,26
1, Graduate, No,7000000,20500000,10,414, Rejected,Male,55
2, Not Graduate, No,600000,1100000,10,800, Approved,Female,75
1, Not Graduate, No,6800000,16900000,12,779, Approved,Female,42
1, Not Graduate, No,6400000,14100000,20,553, Approved,Female,60
4, Not Graduate, No,7600000,29900000,18,445, Rejected,Female,21
3, Not Graduate, No,9000000,21400000,8,496, Rejected,Female,50
0, Graduate, Yes,2400000,5900000,10,650, Approved,Male,28
3, Not Graduate, No,6800000,17900000,6,783, Approved,Female,29
5, Graduate, Yes,3500000,13500000,10,535, Rejected,Female,48
4, Graduate, Yes,8900000,34000000,20,415, Rejected,Male,20
0, Not Graduate, No,6000000,15300000,8,709, Approved,Male,39
3, Not Graduate, No,700000,2500000,14,819, Approved,Female,32
0, Not Graduate, Yes,6800000,17300000,18,841, Approved,Male,30
4, Not Graduate, Yes,5300000,10700000,12,700, Approved,Female,26
1, Graduate, Yes,1400000,4200000,4,881, Approved,Female,35
2, Graduate, Yes,1400000,4600000,4,804, Approved,Female,32
4, Not Graduate, No,9200000,21700000,6,653, Approved,Female,25
1, Graduate, Yes,7900000,29200000,2,663, Approved,Female,51
0, Not Graduate, No,4500000,17500000,10,495, Rejected,Male,41
1, Not Graduate, No,3800000,9800000,8,335, Rejected,Male,75
5, Graduate, Yes,1500000,4900000,6,618, Approved,Female,20
3, Not Graduate, No,1200000,2400000,12,480, Rejected,Male,23
4, Not Graduate, No,1700000,4900000,18,843, Approved,Female,63
4, Graduate, No,5200000,14100000,16,483, Rejected,Male,37
1, Not Graduate, No,1600000,5100000,12,548, Rejected,Female,45
4, Graduate, Yes,6600000,16000000,16,379, Rejected,Female,64
5, Not Graduate, Yes,9400000,26600000,20,771, Approved,Female,24
4, Graduate, Yes,300000,500000,2,353, Rejected,Male,48
5, Not Graduate, No,4600000,11500000,16,668, Approved,Female,76
3, Not Graduate, Yes,6100000,21300000,2,387, Approved,Female,23
0, Not Graduate, Yes,1500000,4100000,12,789, Approved,Female,28
0, Graduate, Yes,400000,900000,2,855, Approved,Male,33
0, Not Graduate, No,8700000,33600000,14,751, Approved,Male,20
3, Not Graduate, No,7000000,21600000,12,739, Approved,Female,48
4, Graduate, No,4700000,13100000,14,492, Rejected,Male,75
4, Not Graduate, Yes,7600000,23800000,16,896, Approved,Female,33
1, Not Graduate, Yes,9200000,24500000,4,545, Rejected,Male,40
5, Not Graduate, No,9400000,36800000,20,891, Approved,Female,55
0, Graduate, No,4800000,15100000,6,848, Approved,Female,50
3, Not Graduate, Yes,600000,2400000,12,884, Approved,Female,58
3, Graduate, Yes,4900000,14300000,14,439, Rejected,Female,28
3, Graduate, Yes,3300000,8500000,12,586, Approved,Male,29
3, Graduate, Yes,9100000,18800000,20,308, Rejected,Female,37
5, Graduate, No,6100000,23500000,16,300, Rejected,Female,28
3, Graduate, Yes,8400000,19600000,2,741, Approved,Male,59
4, Graduate, No,7900000,31400000,8,698, Approved,Female,32
2, Not Graduate, Yes,6100000,22300000,10,733, Approved,Female,46
3, Not Graduate, Yes,2000000,4200000,16,571, Approved,Male,57
3, Graduate, Yes,9900000,29900000,20,490, Rejected,Male,41
2, Not Graduate, No,9500000,25400000,16,451, Rejected,Female,22
4, Graduate, Yes,1900000,6800000,6,559, Approved,Male,62
4, Graduate, Yes,6900000,21400000,10,577, Approved,Female,51
2, Not Graduate, Yes,1500000,5000000,4,613, Approved,Female,38
4, Not Graduate, No,1900000,3800000,20,785, Approved,Male,60
0, Graduate, Yes,2300000,6000000,8,690, Approved,Male,59
2, Not Graduate, No,7800000,17100000,14,351, Rejected,Male,72
4, Not Graduate, No,400000,1000000,10,447, Rejected,Female,35
0, Graduate, Yes,9400000,19200000,20,708, Approved,Female,48
2, Graduate, No,9100000,21700000,12,549, Rejected,Female,42
1, Graduate, Yes,9000000,18800000,8,797, Approved,Male,36
4, Not Graduate, No,7100000,14300000,14,537, Rejected,Male,55
3, Graduate, No,800000,2500000,12,828, Approved,Female,24
0, Graduate, Yes,4500000,9600000,14,471, Rejected,Female,27
5, Graduate, No,8500000,25400000,4,336, Rejected,Male,25
3, Not Graduate, Yes,2500000,9800000,16,424, Rejected,Female,28
2, Graduate, No,1500000,3300000,18,440, Rejected,Male,34
0, Not Graduate, No,6200000,17300000,8,583, Approved,Female,47
1, Not Graduate, Yes,1300000,2900000,6,480, Rejected,Female,37
5, Not Graduate, No,6600000,25800000,10,670, Approved,Female,39
0, Graduate, Yes,5300000,13700000,6,329, Rejected,Male,34
5, Not Graduate, No,1400000,3000000,6,754, Approved,Male,30
2, Not Graduate, Yes,2900000,7800000,18,588, Approved,Female,44
3, Not Graduate, No,6500000,16500000,4,551, Approved,Male,27
3, Graduate, No,8300000,18900000,4,316, Rejected,Male,47
2, Not Graduate, Yes,8900000,32200000,12,382, Rejected,Female,21
3, Graduate, No,5300000,15000000,6,717, Approved,Female,55
0, Graduate, No,2800000,7300000,6,676, Approved,Female,76
1, Not Graduate, No,8000000,27800000,6,667, Approved,Female,23
3, Not Graduate, No,3900000,10500000,20,821, Approved,Male,65
0, Graduate, No,6200000,20100000,20,345, Rejected,Female,35
3, Not Graduate, Yes,5900000,19200000,10,442, Rejected,Female,26
1, Graduate, Yes,6000000,23300000,12,672, Approved,Male,21
3, Not Graduate, Yes,9100000,29300000,2,508, Approved,Male,24
5, Graduate, Yes,3400000,12300000,10,615, Approved,Female,35
1, Graduate, Yes,1800000,4400000,8,689, Approved,Female,40
1, Graduate, No,300000,1200000,18,747, Rejected,Female,37
1, Graduate, Yes,9000000,22800000,10,412, Rejected,Male,25
1, Graduate, No,6400000,16900000,2,703, Approved,Female,72
5, Not Graduate, No,5800000,22200000,16,884, Approved,Female,31
5, Graduate, Yes,2600000,8600000,18,651, Approved,Female,23
4, Not Graduate, No,6600000,17300000,14,793, Approved,Male,27
2, Not Graduate, No,6100000,21800000,4,407, Approved,Female,39
2, Not Graduate, No,4100000,11100000,8,390, Rejected,Female,36
3, Not Graduate, Yes,300000,1000000,12,469, Rejected,Male,29
